Brand Name,Price,Rating,Rating Count,URL
LAVNA,"12,290",4.4,925,https://www.amazon.in/LAVNA-Fingerprint-Bluetooth-LA24-Camera/dp/B0CTHPNRKN/ref=sr_1_11?dib=eyJ2IjoiMSJ9.owQKMCqjYrr2xBCpclXieWR57lYwgd8wisEL07YZ1a-7TK9DVxUJpNZ_DZvGZ_M0l5p6LPxeCkx5YenJ650g31EwvvHp3fDmT89vHuVrgUgQhZzGmZfUNvgAsC4oMBOs71cngEWhzuEEp5kcCnse2wH8hRc38GquEPEFe7MJmQ6WO4MeMMLQstDnoVVKa7tqKMptMfsB6EySqssaImMoBt4fWAwCU5l5jIxBtUThVk6fxPMXbWogwv_53MDzN2sBmmxPFeM19-jFOHJV61UjJWegcmQep6nsreOyvsv1LdI._PfBHDGgO7IHbMfssQkvQlxE7uFXJ_9qnnAlZwDBuo4&dib_tag=se&keywords=smart+lock&qid=1720596622&sr=8-11
Godrej,"14,607",4.4,405,https://www.amazon.in/Godrej-Unlocking-Fingerprint-Mechanical-Champagne/dp/B0C2HKWHQ7/ref=sr_1_12?dib=eyJ2IjoiMSJ9.owQKMCqjYrr2xBCpclXieWR57lYwgd8wisEL07YZ1a-7TK9DVxUJpNZ_DZvGZ_M0l5p6LPxeCkx5YenJ650g31EwvvHp3fDmT89vHuVrgUgQhZzGmZfUNvgAsC4oMBOs71cngEWhzuEEp5kcCnse2wH8hRc38GquEPEFe7MJmQ6WO4MeMMLQstDnoVVKa7tqKMptMfsB6EySqssaImMoBt4fWAwCU5l5jIxBtUThVk6fxPMXbWogwv_53MDzN2sBmmxPFeM19-jFOHJV61UjJWegcmQep6nsreOyvsv1LdI._PfBHDGgO7IHbMfssQkvQlxE7uFXJ_9qnnAlZwDBuo4&dib_tag=se&keywords=smart+lock&qid=1720596622&sr=8-12
Atomberg,"10,499",,,https://www.amazon.in/Atomberg-Azhero-Unlocking-Fingerprint-Stainless/dp/B0D87P37TY/ref=sr_1_13?dib=eyJ2IjoiMSJ9.owQKMCqjYrr2xBCpclXieWR57lYwgd8wisEL07YZ1a-7TK9DVxUJpNZ_DZvGZ_M0l5p6LPxeCkx5YenJ650g31EwvvHp3fDmT89vHuVrgUgQhZzGmZfUNvgAsC4oMBOs71cngEWhzuEEp5kcCnse2wH8hRc38GquEPEFe7MJmQ6WO4MeMMLQstDnoVVKa7tqKMptMfsB6EySqssaImMoBt4fWAwCU5l5jIxBtUThVk6fxPMXbWogwv_53MDzN2sBmmxPFeM19-jFOHJV61UjJWegcmQep6nsreOyvsv1LdI._PfBHDGgO7IHbMfssQkvQlxE7uFXJ_9qnnAlZwDBuo4&dib_tag=se&keywords=smart+lock&qid=1720596622&sr=8-13
LAVNA,"6,690",4.1,28,https://www.amazon.in/LAVNA-Electronic-Bluetooth-Mobile-Fingerprint/dp/B09Z61WN1D/ref=sr_1_14?dib=eyJ2IjoiMSJ9.owQKMCqjYrr2xBCpclXieWR57lYwgd8wisEL07YZ1a-7TK9DVxUJpNZ_DZvGZ_M0l5p6LPxeCkx5YenJ650g31EwvvHp3fDmT89vHuVrgUgQhZzGmZfUNvgAsC4oMBOs71cngEWhzuEEp5kcCnse2wH8hRc38GquEPEFe7MJmQ6WO4MeMMLQstDnoVVKa7tqKMptMfsB6EySqssaImMoBt4fWAwCU5l5jIxBtUThVk6fxPMXbWogwv_53MDzN2sBmmxPFeM19-jFOHJV61UjJWegcmQep6nsreOyvsv1LdI._PfBHDGgO7IHbMfssQkvQlxE7uFXJ_9qnnAlZwDBuo4&dib_tag=se&keywords=smart+lock&qid=1720596622&sr=8-14
Denler,"17,999",4.3,155,https://www.amazon.in/Denler-Digital-Android-Fingerprint-Warranty/dp/B0BWDM6QVJ/ref=sr_1_15?dib=eyJ2IjoiMSJ9.owQKMCqjYrr2xBCpclXieWR57lYwgd8wisEL07YZ1a-7TK9DVxUJpNZ_DZvGZ_M0l5p6LPxeCkx5YenJ650g31EwvvHp3fDmT89vHuVrgUgQhZzGmZfUNvgAsC4oMBOs71cngEWhzuEEp5kcCnse2wH8hRc38GquEPEFe7MJmQ6WO4MeMMLQstDnoVVKa7tqKMptMfsB6EySqssaImMoBt4fWAwCU5l5jIxBtUThVk6fxPMXbWogwv_53MDzN2sBmmxPFeM19-jFOHJV61UjJWegcmQep6nsreOyvsv1LdI._PfBHDGgO7IHbMfssQkvQlxE7uFXJ_9qnnAlZwDBuo4&dib_tag=se&keywords=smart+lock&qid=1720596622&sr=8-15
Helett,"3,644",4.5,63,https://www.amazon.in/HT210-Fingerprint-Emergency-30mm-100mm-Aluminium/dp/B0CBXG8CLB/ref=sr_1_16?dib=eyJ2IjoiMSJ9.owQKMCqjYrr2xBCpclXieWR57lYwgd8wisEL07YZ1a-7TK9DVxUJpNZ_DZvGZ_M0l5p6LPxeCkx5YenJ650g31EwvvHp3fDmT89vHuVrgUgQhZzGmZfUNvgAsC4oMBOs71cngEWhzuEEp5kcCnse2wH8hRc38GquEPEFe7MJmQ6WO4MeMMLQstDnoVVKa7tqKMptMfsB6EySqssaImMoBt4fWAwCU5l5jIxBtUThVk6fxPMXbWogwv_53MDzN2sBmmxPFeM19-jFOHJV61UjJWegcmQep6nsreOyvsv1LdI._PfBHDGgO7IHbMfssQkvQlxE7uFXJ_9qnnAlZwDBuo4&dib_tag=se&keywords=smart+lock&qid=1720596622&sr=8-16
Yale,"10,999",4.1,330,https://www.amazon.in/Yale-YDME-50-NxT-Installation/dp/B08YRR3LH9/ref=sr_1_17?dib=eyJ2IjoiMSJ9.owQKMCqjYrr2xBCpclXieWR57lYwgd8wisEL07YZ1a-7TK9DVxUJpNZ_DZvGZ_M0l5p6LPxeCkx5YenJ650g31EwvvHp3fDmT89vHuVrgUgQhZzGmZfUNvgAsC4oMBOs71cngEWhzuEEp5kcCnse2wH8hRc38GquEPEFe7MJmQ6WO4MeMMLQstDnoVVKa7tqKMptMfsB6EySqssaImMoBt4fWAwCU5l5jIxBtUThVk6fxPMXbWogwv_53MDzN2sBmmxPFeM19-jFOHJV61UjJWegcmQep6nsreOyvsv1LdI._PfBHDGgO7IHbMfssQkvQlxE7uFXJ_9qnnAlZwDBuo4&dib_tag=se&keywords=smart+lock&qid=1720596622&sr=8-17
Escozor,"1,499",3.8,119,https://www.amazon.in/Escozor%C2%AE-Fingerprint-Biometric-Furniture-Different/dp/B0C4ZBT6M7/ref=sr_1_18?dib=eyJ2IjoiMSJ9.owQKMCqjYrr2xBCpclXieWR57lYwgd8wisEL07YZ1a-7TK9DVxUJpNZ_DZvGZ_M0l5p6LPxeCkx5YenJ650g31EwvvHp3fDmT89vHuVrgUgQhZzGmZfUNvgAsC4oMBOs71cngEWhzuEEp5kcCnse2wH8hRc38GquEPEFe7MJmQ6WO4MeMMLQstDnoVVKa7tqKMptMfsB6EySqssaImMoBt4fWAwCU5l5jIxBtUThVk6fxPMXbWogwv_53MDzN2sBmmxPFeM19-jFOHJV61UjJWegcmQep6nsreOyvsv1LdI._PfBHDGgO7IHbMfssQkvQlxE7uFXJ_9qnnAlZwDBuo4&dib_tag=se&keywords=smart+lock&qid=1720596622&sr=8-18
Helett,"2,985",3.9,19,https://www.amazon.in/HT320-Lightweight-Fingerprint-Emergency-30mm-55mm/dp/B0CRB2KDC6/ref=sr_1_19?dib=eyJ2IjoiMSJ9.owQKMCqjYrr2xBCpclXieWR57lYwgd8wisEL07YZ1a-7TK9DVxUJpNZ_DZvGZ_M0l5p6LPxeCkx5YenJ650g31EwvvHp3fDmT89vHuVrgUgQhZzGmZfUNvgAsC4oMBOs71cngEWhzuEEp5kcCnse2wH8hRc38GquEPEFe7MJmQ6WO4MeMMLQstDnoVVKa7tqKMptMfsB6EySqssaImMoBt4fWAwCU5l5jIxBtUThVk6fxPMXbWogwv_53MDzN2sBmmxPFeM19-jFOHJV61UjJWegcmQep6nsreOyvsv1LdI._PfBHDGgO7IHbMfssQkvQlxE7uFXJ_9qnnAlZwDBuo4&dib_tag=se&keywords=smart+lock&qid=1720596622&sr=8-19
IFITech,"2,150",4.1,9,https://www.amazon.in/IFITech-Rechargeable-Fingerprint-Thumbprint-Passwordless/dp/B0CLV66KWP/ref=sr_1_20?dib=eyJ2IjoiMSJ9.owQKMCqjYrr2xBCpclXieWR57lYwgd8wisEL07YZ1a-7TK9DVxUJpNZ_DZvGZ_M0l5p6LPxeCkx5YenJ650g31EwvvHp3fDmT89vHuVrgUgQhZzGmZfUNvgAsC4oMBOs71cngEWhzuEEp5kcCnse2wH8hRc38GquEPEFe7MJmQ6WO4MeMMLQstDnoVVKa7tqKMptMfsB6EySqssaImMoBt4fWAwCU5l5jIxBtUThVk6fxPMXbWogwv_53MDzN2sBmmxPFeM19-jFOHJV61UjJWegcmQep6nsreOyvsv1LdI._PfBHDGgO7IHbMfssQkvQlxE7uFXJ_9qnnAlZwDBuo4&dib_tag=se&keywords=smart+lock&qid=1720596622&sr=8-20
